SubNo,SubjID,ROI,Fearful,Neutral,Beta(Fearful-Neutral),tStat
,S14 (7T),ecc_36-88,-0.82,-0.7278,-0.0922,-1.1046
96,S15 (7T),ecc_0.5-2,2.9287,2.8483,0.0804,0.3443
,S15 (7T),ecc_2.5-6,0.5178,0.0347,0.4831,3.2989
,S15 (7T),ecc_6-15,-0.6731,-1.2268,0.5537,3.7766
,S15 (7T),ecc_15-36,-0.8728,-1.3531,0.4803,3.1004
,S15 (7T),ecc_36-88,-1.1006,-1.7038,0.6032,3.0846
98,S16 (3T),ecc_0.5-2,1.3806,1.2252,0.1554,1.4962
,S16 (3T),ecc_2.5-6,0.4796,0.3523,0.1273,1.1448
,S16 (3T),ecc_6-15,-0.5463,-0.5766,0.0303,0.3818
,S16 (3T),ecc_15-36,-0.5348,-0.5659,0.0311,0.4725
,S16 (3T),ecc_36-88,-0.8198,-0.8582,0.0384,0.365
,S16 (7T),ecc_0.5-2,2.7105,2.5959,0.1146,0.7575
,S16 (7T),ecc_2.5-6,0.0381,-0.0581,0.0962,0.643
,S16 (7T),ecc_6-15,-2.4767,-2.5029,0.0262,0.2346
,S16 (7T),ecc_15-36,-2.2319,-2.2886,0.0567,0.5938
,S16 (7T),ecc_36-88,-2.3397,-2.3615,0.0219,0.2016
100,S17 (3T),ecc_0.5-2,1.3445,1.3728,-0.0283,-0.2571
,S17 (3T),ecc_2.5-6,0.3488,0.3231,0.0257,0.3576
,S17 (3T),ecc_6-15,-0.0601,-0.1822,0.1221,1.2109
,S17 (3T),ecc_15-36,-0.0649,-0.1937,0.1288,1.6451
,S17 (3T),ecc_36-88,-0.0075,-0.0491,0.0416,0.9378
,S17 (7T),ecc_0.5-2,3.6775,3.7799,-0.1024,-0.6284
,S17 (7T),ecc_2.5-6,0.9548,0.916,0.0387,0.5132
,S17 (7T),ecc_6-15,-0.4991,-0.5485,0.0494,0.6043
,S17 (7T),ecc_15-36,-0.0531,-0.1344,0.0814,1.0004
,S17 (7T),ecc_36-88,-0.1027,-0.1767,0.0739,1.0155
101,S18 (7T),ecc_0.5-2,2.1638,1.9658,0.198,0.6361
,S18 (7T),ecc_2.5-6,-0.1886,-0.3353,0.1467,0.9659
,S18 (7T),ecc_6-15,-1.659,-1.8908,0.2318,1.4338
,S18 (7T),ecc_15-36,-1.6833,-1.789,0.1057,0.6761
,S18 (7T),ecc_36-88,-1.45,-1.5682,0.1182,0.7606
102,S19 (3T),ecc_0.5-2,1.4419,1.3927,0.0492,1.1942
,S19 (3T),ecc_2.5-6,0.067,0.0347,0.0323,0.7942
,S19 (3T),ecc_6-15,-0.424,-0.4561,0.0321,0.5716
,S19 (3T),ecc_15-36,-0.3126,-0.3455,0.0329,0.5403
,S19 (3T),ecc_36-88,-0.0627,-0.0695,0.0067,0.2309
,S19 (7T),ecc_0.5-2,2.2537,2.1236,0.1302,0.6188
,S19 (7T),ecc_2.5-6,0.2279,0.2011,0.0268,0.1962
,S19 (7T),ecc_6-15,-0.9001,-0.8433,-0.0567,-0.5346
,S19 (7T),ecc_15-36,-1.1108,-1.0238,-0.0869,-0.864
,S19 (7T),ecc_36-88,-0.8408,-0.7843,-0.0565,-0.7107
112,S20 (7T),ecc_0.5-2,3.6943,3.7656,-0.0712,-0.6352
,S20 (7T),ecc_2.5-6,0.8987,1.0199,-0.1213,-1.4163
,S20 (7T),ecc_6-15,0.1778,0.1593,0.0185,0.2525
,S20 (7T),ecc_15-36,0.3333,0.2753,0.058,0.7229
,S20 (7T),ecc_36-88,0.8277,0.7248,0.1029,1.088
